"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"MRPL52",0.00025262251991131,0.0728215954204359,0.515,0.41,1,"MRPL52"
"PSMB7",0.000253528775372845,0.0874091852958347,0.51,0.405,1,"PSMB7"
"ABTB1",0.000254699122741834,-0.115510294954175,0.303,0.307,1,"ABTB1"
"TBC1D20",0.000255563990154248,0.0554098542125448,0.281,0.193,1,"TBC1D20"
"CHMP2A",0.000255751359033088,0.125896177561312,0.458,0.347,1,"CHMP2A"
"SELENOF",0.000255764700428112,-0.105637208015399,0.664,0.624,1,"SELENOF"
"SLC44A2",0.000258712395052374,0.115644493683538,0.532,0.423,1,"SLC44A2"
"COQ6",0.000258854521727133,0.127187833727217,0.169,0.096,1,"COQ6"
"NUP37",0.000260099731928869,0.0337082454147134,0.179,0.118,1,"NUP37"
"EVI2B",0.000260272852407476,0.151826832005189,0.438,0.328,1,"EVI2B"
"ACADM",0.000260579891444707,-0.0201955157681367,0.386,0.319,1,"ACADM"
"GMDS",0.00026127949244583,-0.164414915349864,0.246,0.273,1,"GMDS"
"DELE1",0.000261365575763709,-0.127814604959656,0.289,0.285,1,"DELE1"
"SERTAD2",0.000262106762889542,0.0351346057461074,0.373,0.287,1,"SERTAD2"
"TMEM30A",0.000262463727659258,0.0759210292140945,0.415,0.315,1,"TMEM30A"
"DCUN1D1",0.000262892506045937,0.0434041420617726,0.281,0.199,1,"DCUN1D1"
"CEP192",0.000263234017239207,0.124552530617315,0.169,0.097,1,"CEP192"
"CSDE1",0.000264174560064687,0.115992833974722,0.913,0.843,1,"CSDE1"
"SDHC",0.000264359254927116,0.0507026505347585,0.48,0.385,1,"SDHC"
"FKBP1A",0.000264811654047584,-0.169890205301725,0.448,0.48,1,"FKBP1A"
"POLR2J",0.000266162098084148,-0.0408168244869721,0.326,0.277,1,"POLR2J"
"ECHDC2",0.000266241972554711,-0.166346250581725,0.102,0.176,1,"ECHDC2"
"AGTPBP1",0.000266387052624895,0.0303033490667919,0.328,0.248,1,"AGTPBP1"
"ZNF101",0.000266981785605511,-0.160054803487421,0.159,0.189,1,"ZNF101"
"CD48",0.000268348142014956,-0.00689145706807515,0.873,0.791,1,"CD48"
"C1orf122",0.000269056602922069,-0.121775321708772,0.122,0.154,1,"C1orf122"
"CNR2",0.000269783057960361,0.00809001029577416,0.284,0.219,1,"CNR2"
"AKT2",0.000270465335527536,-0.192313946782004,0.408,0.466,1,"AKT2"
"AP5M1",0.000270493052416263,0.040986545185945,0.338,0.256,1,"AP5M1"
"FXR2",0.000270651924358389,0.0778740919789728,0.114,0.054,1,"FXR2"
"RAB35",0.000271104262999233,0.104096695549719,0.443,0.336,1,"RAB35"
"TUSC2",0.000271242295771392,-0.0194035498753087,0.363,0.307,1,"TUSC2"
"HDHD3",0.000271850039143079,0.116074689311571,0.209,0.127,1,"HDHD3"
"REXO1",0.00027200308727413,0.0963375145330982,0.174,0.099,1,"REXO1"
"DCTN2",0.000273039545705868,0.110773790470548,0.555,0.444,1,"DCTN2"
"NDUFV1",0.000273469149525482,-0.134023291240435,0.515,0.515,1,"NDUFV1"
"SLC25A39",0.000274271817470507,-0.0426468582879572,0.435,0.388,1,"SLC25A39"
"SEL1L3",0.000274455131279921,-0.15644891375853,0.42,0.43,1,"SEL1L3"
"EXOSC7",0.000275422228580663,0.0861200732484563,0.231,0.149,1,"EXOSC7"
"IVNS1ABP",0.000275653492088928,0.15882266999581,0.604,0.493,1,"IVNS1ABP"
"SETDB2",0.000276298418988241,-0.0087733006612335,0.164,0.119,1,"SETDB2"
"PBXIP1",0.000276457424618794,-0.258230539461691,0.557,0.61,1,"PBXIP1"
"FAM53B",0.000276920428448599,0.0409660702939035,0.443,0.36,1,"FAM53B"
"SPAG9",0.000277039492099694,-0.0627331524694456,0.468,0.423,1,"SPAG9"
"SEC61A1",0.000277211624658986,0.118535536137366,0.415,0.309,1,"SEC61A1"
"EWSR1",0.000277690469674508,-0.0345021425038976,0.766,0.691,1,"EWSR1"
"RMND1",0.000277729856715512,0.0517430453890254,0.139,0.077,1,"RMND1"
"RER1",0.000278685863279017,0.0660690509670309,0.423,0.324,1,"RER1"
"BCL2L1",0.000279297611171531,-0.123785492475761,0.169,0.149,1,"BCL2L1"
"HDHD5",0.000279923578244097,0.0878481718299408,0.182,0.106,1,"HDHD5"
"IZUMO4",0.000280488934062305,0.0840886399534742,0.241,0.159,1,"IZUMO4"
"PPM1D",0.00028056070268911,-0.175692960425294,0.214,0.28,1,"PPM1D"
"PAN3",0.000281291573929031,0.103451688083382,0.261,0.173,1,"PAN3"
"EXOC6",0.000282768137778723,0.112250532604356,0.294,0.199,1,"EXOC6"
"LSS",0.000282873276988738,0.142636959070711,0.179,0.104,1,"LSS"
"UBR4",0.000282996311939728,0.155771914721417,0.597,0.485,1,"UBR4"
"TP53I13",0.000283403860232541,-0.116257014022032,0.271,0.273,1,"TP53I13"
"MDH1",0.000285244733124439,-0.0616865274013606,0.525,0.482,1,"MDH1"
"UFM1",0.000285715261968783,0.103728505926038,0.6,0.49,1,"UFM1"
"NDUFA10",0.000285873645751302,-0.0928506550299467,0.465,0.429,1,"NDUFA10"
"LAMP2",0.000287015280566449,0.0831153943525866,0.249,0.166,1,"LAMP2"
"BTG3",0.0002881834099466,-0.228058182063437,0.236,0.326,1,"BTG3"
"PGM1",0.000288498681370688,0.0408311000320003,0.271,0.195,1,"PGM1"
"HLA-F",0.000288515377322172,0.134524121448737,0.719,0.613,1,"HLA-F"
"INTS4",0.000290370172599497,-0.150248884919848,0.1,0.173,1,"INTS4"
"PEX2",0.000291678101002347,0.0494150272518591,0.318,0.238,1,"PEX2"
"ARHGAP17",0.000291950088248113,-0.198071816861775,0.458,0.488,1,"ARHGAP17"
"LGALS9",0.000292452991377929,0.00481942901347499,0.44,0.364,1,"LGALS9"
"YIPF4",0.000293754222320993,0.059019030530193,0.376,0.281,1,"YIPF4"
"RNF34",0.000294444823052009,0.109718703909027,0.376,0.276,1,"RNF34"
"IREB2",0.000294983195867942,-0.0224973293758042,0.368,0.298,1,"IREB2"
"DHX37",0.000296394136735605,0.0362627370138811,0.172,0.109,1,"DHX37"
"IMMT",0.000297873723088193,0.0558779656817855,0.423,0.331,1,"IMMT"
"C8orf76",0.000299016495871802,0.073733506524591,0.189,0.115,1,"C8orf76"
"TMF1",0.000299530501889952,-0.00118769116497575,0.57,0.492,1,"TMF1"
"MPV17",0.000299754869367156,-0.0637643802314799,0.189,0.17,1,"MPV17"
"RAC1",0.000299787516767197,0.0131022733050064,0.746,0.665,1,"RAC1"
"TMPO",0.000300199866929904,-0.0882179471583169,0.415,0.381,1,"TMPO"
"CYP4V2",0.000301597449315866,-0.124143856260308,0.055,0.118,1,"CYP4V2"
"NKAP",0.000301914346497559,-0.102979907903507,0.398,0.37,1,"NKAP"
"SERP1",0.000305232444760896,0.0365620167392238,0.92,0.851,1,"SERP1"
"ZNF766",0.000305536714683076,0.0367083795137831,0.261,0.186,1,"ZNF766"
"LAMTOR1",0.000307133093451164,-0.0882057784718348,0.575,0.543,1,"LAMTOR1"
"PPP1R37",0.000308936984834743,0.09079682435164,0.157,0.086,1,"PPP1R37"
"ZNF550",0.000309798680725576,0.0787326917550886,0.122,0.06,1,"ZNF550"
"COMMD2",0.000309864872767383,0.100309149562487,0.463,0.357,1,"COMMD2"
"TPGS2",0.000310376549871479,0.0663515177291119,0.231,0.153,1,"TPGS2"
"ATP5MF",0.000311037525157419,-0.147968725238081,0.632,0.633,1,"ATP5MF"
"CHAF1A",0.000311668051834667,0.0683653604448036,0.179,0.108,1,"CHAF1A"
"MGST3",0.000312138074329506,0.0109722726926456,0.388,0.312,1,"MGST3"
"DESI2",0.00031227472176845,0.0643086173616332,0.448,0.352,1,"DESI2"
"OPA1",0.00031412143091429,0.114165252848927,0.368,0.266,1,"OPA1"
"MAP3K6",0.00031423139940233,0.0670593340911021,0.102,0.046,1,"MAP3K6"
"ZNF75A",0.000314313650228398,0.0543952975623053,0.346,0.26,1,"ZNF75A"
"NIT1",0.00031516737668849,0.0982368273684526,0.224,0.141,1,"NIT1"
"MOB2",0.000315391186506854,0.0759986330472514,0.333,0.241,1,"MOB2"
"CD46",0.000315473609923827,0.0777710542080878,0.545,0.44,1,"CD46"
"NUDT8",0.000315619508963589,0.0753820007838077,0.102,0.046,1,"NUDT8"
"UQCR11",0.000317746954353588,-0.122085355389465,0.731,0.7,1,"UQCR11"
"PDIA4",0.00031930609633095,0.0234248565817273,0.256,0.186,1,"PDIA4"
"POLG2",0.000319439883057249,0.087106953664292,0.169,0.098,1,"POLG2"
"WDFY1",0.000320242264542842,0.116867930020061,0.5,0.39,1,"WDFY1"
"MTX1",0.000320605136891861,0.0862437916777117,0.331,0.237,1,"MTX1"
"LIME1",0.000323561612728474,0.0581840672539248,0.182,0.111,1,"LIME1"
"ZDHHC20",0.000324682541399781,0.103227936651103,0.313,0.218,1,"ZDHHC20"
"TMEM184C",0.000325272455569152,0.0264443850205374,0.204,0.144,1,"TMEM184C"
"RNF40",0.000325697571904161,0.0812446952606969,0.363,0.267,1,"RNF40"
"CASS4",0.000326699994170803,-0.153882979947966,0.119,0.168,1,"CASS4"
"EIF2D",0.000327891127560561,-0.00422503463933749,0.216,0.165,1,"EIF2D"
"PTPN7",0.000328022197387962,0.0816540471872984,0.637,0.531,1,"PTPN7"
"RPS19BP1",0.000330118979375167,-0.117948018463634,0.448,0.44,1,"RPS19BP1"
"ROCK1",0.000331261244493222,0.109526706599878,0.781,0.681,1,"ROCK1"
"TBCC",0.000332113201045495,-0.0905307630081931,0.353,0.328,1,"TBCC"
"ZNF583",0.000332819349661601,0.0842332127736352,0.117,0.057,1,"ZNF583"
"MARF1",0.000333087269267833,-0.067362981409215,0.455,0.41,1,"MARF1"
"PLCG2",0.000333864954848446,0.0327519678128128,0.764,0.669,1,"PLCG2"
"KAT5",0.000333950938677292,0.0511636103573795,0.42,0.326,1,"KAT5"
"LARP1B",0.000334539219559818,0.0861739300222764,0.169,0.097,1,"LARP1B"
"RNF185",0.000335273463665939,0.101524670741958,0.179,0.104,1,"RNF185"
"TRMT10C",0.000335389951775662,-0.110918524317358,0.326,0.321,1,"TRMT10C"
"PARP1",0.000335971268193013,-0.166930302029707,0.485,0.513,1,"PARP1"
"ZNRD1",0.000335995493972324,0.0343421713127413,0.376,0.29,1,"ZNRD1"
"ENY2",0.000336159412612011,-0.0573026649971093,0.6,0.553,1,"ENY2"
"NIPA2",0.000336176853848273,0.0533384294654503,0.54,0.44,1,"NIPA2"
"MRPS24",0.000336899807183199,-0.0356452637814651,0.144,0.114,1,"MRPS24"
"QSOX2",0.000337004812385387,-0.141377456452176,0.085,0.152,1,"QSOX2"
"UBE2V2",0.000337134144267218,0.0386294046081356,0.289,0.213,1,"UBE2V2"
"SF3B5",0.000338280085018051,-0.126482128957302,0.647,0.629,1,"SF3B5"
"MRPL44",0.000338330212821658,0.0408102327990912,0.336,0.256,1,"MRPL44"
"CAMLG",0.000339100398002914,-0.0329082867671958,0.512,0.45,1,"CAMLG"
"ERGIC3",0.000342143331483649,-0.0906013486009101,0.649,0.611,1,"ERGIC3"
"FDX1",0.00034571766617512,0.117747000327656,0.366,0.264,1,"FDX1"
"GOLGA5",0.000348309707837113,0.117189665512106,0.239,0.152,1,"GOLGA5"
"APOBEC3B",0.00034901461812056,0.026762681424241,0.162,0.101,1,"APOBEC3B"
"PPFIBP2",0.000349756904668045,-0.174651956996854,0.157,0.238,1,"PPFIBP2"
"TCTA",0.000349849101760674,0.0484577698159431,0.209,0.14,1,"TCTA"
"ACP1",0.00035331981509724,-0.0254057609467447,0.48,0.419,1,"ACP1"
"VAMP2",0.000355634820082926,-0.0239825238800019,0.41,0.343,1,"VAMP2"
"POLR1D",0.000355985059481263,0.0906593096965015,0.637,0.528,1,"POLR1D"
"GPSM3",0.00035602018922202,0.074652301956678,0.779,0.679,1,"GPSM3"
"CDKN2B",0.000356567563491694,-0.140853992974881,0.062,0.125,1,"CDKN2B"
"TCEA2",0.000357045092448031,-0.122060235746208,0.065,0.123,1,"TCEA2"
"BZW2",0.000357338803683456,-0.146446095750587,0.102,0.158,1,"BZW2"
"UBE2E2",0.000358486337195602,0.128671390838593,0.231,0.147,1,"UBE2E2"
"NDUFA11",0.000359584265093139,-0.144205098902129,0.124,0.194,1,"NDUFA11"
"STAP1",0.000360939010420441,-0.185452844200879,0.296,0.331,1,"STAP1"
"ZFAS1",0.000361302070935157,0.020905544285915,0.955,0.898,1,"ZFAS1"
"TOR2A",0.000364225952341809,0.0487165682181958,0.127,0.071,1,"TOR2A"
"RASGRF1",0.000364536484806262,-0.215585449264993,0.256,0.327,1,"RASGRF1"
"GOLIM4",0.000364785912989129,0.0944095733127545,0.164,0.092,1,"GOLIM4"
"GET4",0.000364895082600351,-0.139561088680547,0.201,0.246,1,"GET4"
"AXIN1",0.000365143312623044,-0.125105709471592,0.097,0.164,1,"AXIN1"
"ORAI2",0.000365469214825115,-0.158063268512157,0.786,0.755,1,"ORAI2"
"PARD6A",0.000365938465416681,-0.140092854843212,0.149,0.189,1,"PARD6A"
"PDIA6",0.000366193346359089,-0.00644332659794689,0.547,0.462,1,"PDIA6"
