"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LY6E",1.49304678682612e-39,0.17239476656197,0.637,0.424,3.60316981064748e-35,"LY6E"
"TOPORS",1.51445174214443e-39,0.100321940504728,0.318,0.157,3.65482638931716e-35,"TOPORS"
"NUDT4",1.51927306395691e-39,0.181540985426807,0.362,0.173,3.66646168524721e-35,"NUDT4"
"OSTF1",1.53343374118317e-39,-0.0601128515050489,0.406,0.27,3.70063564759735e-35,"OSTF1"
"MRPL52",1.53418939679619e-39,-0.0918937536113549,0.404,0.292,3.70245927128824e-35,"MRPL52"
"GUSB",1.54355449507191e-39,0.144013647080241,0.343,0.162,3.72506006295704e-35,"GUSB"
"TET2",1.59276406441898e-39,-0.141616521984149,0.291,0.197,3.84381751666233e-35,"TET2"
"TSPO",1.59673335502285e-39,0.133299906295372,0.61,0.405,3.85339660567666e-35,"TSPO"
"ZNF75A",1.60106100989512e-39,-0.37963071747424,0.246,0.246,3.8638405351799e-35,"ZNF75A"
"PLBD1",1.60872744276926e-39,0.181250376542036,0.237,0.079,3.88234193763506e-35,"PLBD1"
"PDE4A",1.62501680247991e-39,0.392951053233036,0.207,0.043,3.92165304942478e-35,"PDE4A"
"OXA1L",1.64557521413836e-39,-0.0178586644971488,0.516,0.367,3.9712666642801e-35,"OXA1L"
"GRPEL1",1.65616967228537e-39,0.156846663340384,0.266,0.103,3.99683427012627e-35,"GRPEL1"
"FBXO21",1.69185743903444e-39,0.158041203996961,0.551,0.338,4.08295955762181e-35,"FBXO21"
"FOXN3",1.70084038909234e-39,-0.165260870995087,0.329,0.249,4.10463811099653e-35,"FOXN3"
"MEAF6",1.70786949147446e-39,-0.00564548473846349,0.424,0.27,4.12160144377531e-35,"MEAF6"
"AKR1A1",1.9539991346078e-39,0.0352529952210876,0.443,0.283,4.71558611154901e-35,"AKR1A1"
"ST3GAL5",1.96137590684874e-39,-0.136144610502108,0.294,0.186,4.73338847599807e-35,"ST3GAL5"
"SUPV3L1",1.98541270295402e-39,-0.0577952349302943,0.341,0.216,4.79139647603895e-35,"SUPV3L1"
