"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CRKL",2.98382330728204e-21,0.210454822734967,0.272,0.088,7.20086078746375e-17,"CRKL"
"MAD2L1BP",3.05487303693795e-21,0.20913472742478,0.208,0.045,7.37232510004235e-17,"MAD2L1BP"
"NUP62",3.0713284252687e-21,-0.00985381401741814,0.279,0.147,7.41203688870095e-17,"NUP62"
"ELP2",3.24367511656752e-21,0.0923110014914554,0.302,0.139,7.8279611588124e-17,"ELP2"
"ANP32E",3.24808364923503e-21,-0.211123819931395,0.397,0.318,7.83860027069889e-17,"ANP32E"
"ZDHHC20",3.2720834827911e-21,-0.168659914607241,0.288,0.205,7.89651906901976e-17,"ZDHHC20"
"FBXO3",3.27340991706861e-21,-0.22223409964802,0.231,0.162,7.89972015286168e-17,"FBXO3"
"RRM1",3.32002014653576e-21,0.138393217148503,0.255,0.093,8.01220461963475e-17,"RRM1"
"ETNK1",3.33096676018578e-21,-0.148096575300951,0.362,0.257,8.03862208235634e-17,"ETNK1"
"DEPDC5",3.33170996759736e-21,-0.568964526032172,0.143,0.228,8.0404156648027e-17,"DEPDC5"
"VRK2",3.35570581564439e-21,-0.194800305445437,0.346,0.273,8.09832484489461e-17,"VRK2"
"NUP205",3.37069151351536e-21,-0.0495145945528627,0.219,0.116,8.13448982956663e-17,"NUP205"
"ZNF397",3.41978152582524e-21,-0.242595984156644,0.184,0.147,8.25295875627405e-17,"ZNF397"
"PPP4R3A",3.4251240114231e-21,-0.227162385434368,0.446,0.353,8.26585177676738e-17,"PPP4R3A"
"PLCL2",3.4672301162061e-21,-0.0500475779100332,0.329,0.204,8.36746643944017e-17,"PLCL2"
"MTERF4",3.61095872692916e-21,-0.271550155075779,0.351,0.298,8.71432669569815e-17,"MTERF4"
"FEM1A",3.63970030573304e-21,0.137884833142975,0.223,0.073,8.78368874782555e-17,"FEM1A"
"SRSF11",3.65071481081977e-21,-0.236153847652967,0.864,0.732,8.81027005295135e-17,"SRSF11"
"SRP68",3.68429280100824e-21,0.0473004845799628,0.295,0.147,8.8913038166732e-17,"SRP68"
"TPD52L2",3.73988811115553e-21,0.1932916087473,0.36,0.159,9.02547197865164e-17,"TPD52L2"
"DUT",3.76332246378676e-21,-0.339503840389561,0.458,0.432,9.0820261018566e-17,"DUT"
"DNAJB12",3.77215447377131e-21,-0.0201301278976191,0.273,0.157,9.1033403915523e-17,"DNAJB12"
"EMSY",3.9162834079613e-21,0.129831058447845,0.253,0.098,9.45116674843301e-17,"EMSY"
"CHUK",3.98811304203253e-21,0.144808681142392,0.186,0.043,9.62451320433711e-17,"CHUK"
"MPC2",4.00012292688457e-21,0.245044505316727,0.471,0.243,9.65349665945053e-17,"MPC2"
"ODF2",4.06885805969483e-21,0.0302541063731073,0.255,0.121,9.81937515546153e-17,"ODF2"
"TERF1",4.07768349953776e-21,-0.206507143787346,0.272,0.21,9.84067358943447e-17,"TERF1"
"TUBGCP2",4.08002811428056e-21,-0.138002713067483,0.376,0.272,9.84633184819327e-17,"TUBGCP2"
"PPP2CB",4.14165528282586e-21,0.0879954236239706,0.136,0.026,9.99505669404365e-17,"PPP2CB"
"YDJC",4.15461855882949e-21,-0.00391830982443619,0.292,0.162,1.00263409680232e-16,"YDJC"
"CLK3",4.16614560112292e-21,-0.0597316475618056,0.349,0.225,1.00541591791899e-16,"CLK3"
"HPS1",4.28043192221541e-21,-0.383265655408617,0.362,0.363,1.03299663578824e-16,"HPS1"
"CORO1B",4.30957776284518e-21,-0.197302230952933,0.483,0.406,1.04003040150743e-16,"CORO1B"
"RGS19",4.35213706085601e-21,0.142111907382969,0.468,0.268,1.05030123689638e-16,"RGS19"
"NDUFA12",4.36509357960113e-21,-0.0322070222270381,0.441,0.305,1.05342803356514e-16,"NDUFA12"
"RPL31",4.39850902606167e-21,0.205734023863225,0.973,0.829,1.06149218325946e-16,"RPL31"
"CHKA",4.50178259954348e-21,0.203498793995204,0.223,0.06,1.08641519474783e-16,"CHKA"
"KLHL2",4.56082300836606e-21,0.112631874270063,0.166,0.041,1.10066341660898e-16,"KLHL2"
"ATP2A2",4.66653459672359e-21,0.0515004651487341,0.232,0.094,1.1261747942273e-16,"ATP2A2"
"ZFYVE27",4.67658986878473e-21,-0.00920117361054251,0.272,0.146,1.12860143303382e-16,"ZFYVE27"
"MBTPS1",4.74339346093934e-21,-0.232271248845948,0.298,0.21,1.14472314392849e-16,"MBTPS1"
"PARVG",4.75599521190524e-21,-0.466639456707489,0.273,0.351,1.14776432448909e-16,"PARVG"
"ATXN7L3",4.76199413951322e-21,-0.0145371018165075,0.143,0.053,1.14921204568873e-16,"ATXN7L3"
"ING5",4.85232855511682e-21,-0.0821848747029711,0.279,0.164,1.17101245020634e-16,"ING5"
"VMA21",4.85712426756364e-21,0.134950190651073,0.31,0.136,1.17216979949113e-16,"VMA21"
"PTPN12",4.97610378038481e-21,-0.0831667937188676,0.304,0.197,1.20088312532026e-16,"PTPN12"
"SCAF11",5.14231538375642e-21,-0.188747923916664,0.787,0.636,1.24099497156194e-16,"SCAF11"
